;film_full_name;year;counry;film_url;keywords;keywords_status
11;Господа Головлевы  (видео);(2006);Россия;https://www.kinopoisk.ru/level/1/film/426275/;;200
12;Брат 2;(2000);Россия;https://www.kinopoisk.ru/level/1/film/41520/;;200
13;Щенок;(2009);Россия;https://www.kinopoisk.ru/level/1/film/478759/;;200
14;Евгений Гришковец: Дредноуты  (видео);(2006);Россия;https://www.kinopoisk.ru/level/1/film/425999/;;200
15;Евгений Гришковец: Планета  (видео);(2005);Россия;https://www.kinopoisk.ru/level/1/film/425998/;;200
16;Дурак;(2014);Россия;https://www.kinopoisk.ru/level/1/film/808639/;;200
17;Радости и печали маленького лорда;(2003);Россия;https://www.kinopoisk.ru/level/1/film/40699/;;200
18;Солдатик;(2018);Россия;https://www.kinopoisk.ru/level/1/film/1254051/;;200
19;В августе 44-го;(2001);Россия;https://www.kinopoisk.ru/level/1/film/41381/;;200
